Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
BHP Billiton,Andrew Mackenzie,CEO[23],2013,Previously with BP and the Rio Tinto Group,2017/11/15,????-1977,University of St Andrews,geology,,BSc,,,,,,,,????-1981,University of Bristol,organic chemistry,,PhD,
BMW,Oliver Zipse,Chairman of the board of management[24],2020,Succeeded Harald Krüger,2017/11/15,1985-1991,Technische Universität Darmstadt,mechanical engineering,,Dipl.-Ing.,He studied computer science and mathematics at the University of Utah in Salt Lake City from 1983 to 1985 without obtaining a degree,????-1999,,,,EMBA,"Kellogg-WHU Executive MBA Program which is a joint MBA degree from Kellogg School of Management, USA and WHU – Otto Beisheim School of Management, Germany",,,,,,
Boeing,Dave Calhoun,"Chairman, president and CEO[25]",2020,Succeeded Dennis Muilenburg in the aftermath of 737 Max crisis.,2015-2020,,Virginia Tech,accounting,,,,,,,,,,,,,,,
Boston Consulting Group,Rich Lesser,President and CEO[26],2013,Replaced Hans-Paul Bürkner,2017/11/15,,University of Michigan,Chemical Engineering,,BS,Activities and Societies: Tau Beta Pi; Summa cum laude,,Harvard Business School,,,MBA,"Baker Scholar, High Distinction",,,,,,
BP,Bob Dudley,Group Chief Executive[27],2010,Previously led TNK-BP,2017/11/15,,University of Illinois,chemical engineering,,,he joined the fraternity Phi Kappa Psi and served as District 3 Archon,,Thunderbird School of Global Management:::Southern Methodist University,international management,,MIM:::MBA,Thunderbird School of Global Management (now part of Arizona State University),,,,,,
Campbell Soup Company,Denise Morrison,President and CEO[28],2011,12th leader of the company,2017/11/14,,Boston College,"economics, psychology",,BS,magna cum laude; inducted into the Order of the Cross and Crown Honor Society for academic and extracurricular achievement,,,,,,,,,,,,
Canonical Ltd.,Mark Shuttleworth,Founder and CEO[29],2017,Stepped down as CEO in 2009 and resumed in 2017,2017/11/14,1992-1995,University of Cape Town,"Finance, Information Systems",,Bachelor of Business Science,,,,,,,,,,,,,
Capgemini,Paul Hermelin,Chairman and CEO[30],2012,Previously a member of the French government,2017/11/14,1972-1975,Ecole Polytechnique,,,,,1976-1978,ENA - Ecole nationale d'administration,Économie,,,,,,,,,
Capital One Financial,Richard Fairbank,"Founder, chairman and CEO[31]",1988,Co-founded the firm with Nigel Morris,2017/11/14,????-1972,Stanford University,economics,,,enrolled at Pomona College before transferring to Stanford University,????-1981,Stanford Graduate School of Business,,,MBA,"graduated first in his class, as well as receiving the excellence in leadership award from the University in 2006",,,,,,
Caterpillar Inc.,Jim Umpleby,CEO[32],2017,Succeeded Douglas R. Oberhelman,2017/11/14,????-1980,Rose-Hulman Institute of Technology,Mechanical Engineering,,BS,,,,,,,,,,,,,
Chubb Limited,Evan G. Greenberg,Chairman and CEO[33],2004,Former COO of American International Group,2018/10/01,,,,,,"attended New York University and the College of Insurance (now part of St. John's University, New York) but did not graduate from either",,,,,,,,,,,,
Cisco Systems,Chuck Robbins,CEO[34],2015,"Succeeded John T. Chambers, who became the chairman",2017/11/14,1983-1987,University of North Carolina at Chapel Hill,Mathematical Sciences,,BS,,,,,,,,,,,,,
Citigroup,Michael Corbat,CEO[35],2012,Succeeded Vikram Pandit,2017/11/14,,Harvard University,economics,,BA,,,,,,,,,,,,,
Coca-Cola,James Quincey,Chairman and CEO[36],2008,Previously the firm's COO,2017/11/14,,University of Liverpool,electronic engineering,,BSc,,,,,,,,,,,,,
Cognizant,Brian Humphries,CEO[37],2019,Succeeded co-founder Francisco D'Souza,2017/11/14,1991-1996,University of Ulster,,,B.B.A.,Honors,,,,,,,,,,,,
Comcast,Brian L. Roberts,Chairman and CEO[38],2002,"Son of Ralph J. Roberts, the founder of Comcast",2017/11/14,,University of Pennsylvania,,,BS,,,,,,,,,,,,,
Credit Suisse,Tidjane Thiam,CEO[39],2015,Formerly with Prudential,2017/11/14,,,,,,,????-1988,INSEAD,,,MBA,Dean's list,,,,,,
