Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
Starbucks,Kevin Johnson,President and CEO[129],2017,Previously CEO for Juniper Networks; succeeds Howard Schultz,2017/11/11,,,,,,,,,,,,,,,,,,
Sun Hung Kai Properties,Raymond Kwok,Chairman and MD[130],2011,Has been with the firm since 1978,2017/11/11,,,,,,,,,,,,,,,,,,
Sun Pharmaceutical,Dilip Shanghvi,MD[131],1983,Has led the firm since its founding,2017/11/11,,,,,,,,,,,,,,,,,,
SunTrust Banks,William H. Rogers Jr.,Chairman and CEO[132],2011,"Succeeded James M. Wells, III",2017/11/11,,,,,,,,,,,,,,,,,,
Syntel,Rakesh Khanna,CEO and president[133],2016,Previously the firm's chief operating office,2017/11/11,,,,,,,,,,,,,,,,,,
Target Corporation,Brian Cornell,Chairman and CEO[134],2014,Succeeded Gregg Steinhafel,2017/11/11,,,,,,,,,,,,,,,,,,
Tata Consultancy Services,Rajesh Gopinathan,CEO and MD[135],2016,Replaced N Chandrasekaran,2017/11/11,,,,,,,,,,,,,,,,,,
TCL Corporation,Li Dongsheng,CEO & Founder[136],1981,Been with the company since the beginning,,,,,,,,,,,,,,,,,,,
Telstra,Andy Penn,CEO[137],2015,Previously CFO,2017/11/11,,,,,,,,,,,,,,,,,,
Temasek Holdings,Ho Ching,CEO[138],2002,Listed as one of the most powerful woman in the world by Forbes[139],2017/11/11,,,,,,,,,,,,,,,,,,
Tesco,Dave Lewis,Group CEO[140],2014,Previously with Unilever,2017/11/11,,,,,,,,,,,,,,,,,,
"Tesla, Inc.",Elon Musk,CEO[141],2008,"Previously board member of Tesla, Inc.",2018/11/11,,,,,,,,,,,,,,,,,,
Tod's,Diego Della Valle,MD,1970,"Grandson of Filippo Della Valle, the firm's founder",2017/11/11,,,,,,,,,,,,,,,,,,
The Travelers Companies,Alan D. Schnitzer,Chairman and CEO[142],2015,Previously over the firm's Business and International Insurance segment,2017/11/11,,,,,,,,,,,,,,,,,,
Toyota,Akio Toyoda,President and director[143],2009,"Son of Shoichiro Toyoda, the former chairman",2017/11/11,,,,,,,,,,,,,,,,,,
T. Rowe Price,Bill Stromberg,President and CEO[144],2016,Has been with the firm since 1987,2017/02/24,,,,,,,,,,,,,,,,,,
Twitter,Jack Dorsey,CEO[145],2006,Co-founder,2017/11/11,,,,,,,,,,,,,,,,,,
United Airlines,Oscar Munoz,CEO[146],2015,Formerly with United Continental Holdings,2017/11/11,,,,,,,,,,,,,,,,,,
UBS,Ralph Hamers,Group CEO[147],2020,Previously with ING Group,2017/11/11,,,,,,,,,,,,,,,,,,
Bausch Health,Joseph C. Papa,Chairman and CEO[148],2016,Succeeding J. Michael Pearson,2017/11/11,,,,,,,,,,,,,,,,,,
Verizon Communications,Hans Vestberg,Chairman and CEO[149],2018,Replaced Lowell McAdam,2019/03/31,,,,,,,,,,,,,,,,,,
ViacomCBS,Robert Bakish,President and CEO[150],2019,Has been with the firm since 1997,2020/03/02,,,,,,,,,,,,,,,,,,
Vodafone,Vittorio Colao,CEO[151],2008,Also director at Unilever,2017/11/11,,,,,,,,,,,,,,,,,,
Volkswagen Group,Herbert Diess,Chairman of the Management Board/CEO[152],2018,Succeeded Matthias Müller,2017/11/11,,,,,,,,,,,,,,,,,,
Vulcan Inc.,Bill Hilf,CEO[153],2016,Succeeded Paul Allen,2017/11/11,,,,,,,,,,,,,,,,,,
The Walt Disney Company,Bob Chapek,CEO[154],2020,"Previously led Disney Parks, Experiences and Products",2020/03/02,,,,,,,,,,,,,,,,,,
Walgreens Boots Alliance,Stefano Pessina,Executive vice chairman and CEO[155],2015,Holding company of Walgreens and Boots UK,2017/11/11,,,,,,,,,,,,,,,,,,
Walmart,Doug McMillon,President and CEO[156],2014,Previously lead for Sam's Club,2017/11/11,,,,,,,,,,,,,,,,,,
Warner Bros.,Ann Sarnoff,Chairwoman and CEO[157],2019,First woman to hold the position at the company; succeeded Kevin Tsujihara,2019/10/10,,,,,,,,,,,,,,,,,,
WarnerMedia,Jason Kilar,CEO[158],2020,Previously with Hulu and Amazon,2020/11/19,,,,,,,,,,,,,,,,,,
Wells Fargo,Charles Scharf,CEO and president[159],19-Sep,"Succeeded John Stumpf, previously COO",,,,,,,,,,,,,,,,,,,
Whole Foods Market,John Mackey,CEO[160],1980,Co-founder,2017/11/11,,,,,,,,,,,,,,,,,,
"Williams-Sonoma, Inc.",Laura J. Alber,President and CEO[161],2010,Replaced W. Howard Lester,2017/11/11,,,,,,,,,,,,,,,,,,
Wipro Technologies Limited,Abidali Neemuchwala,CEO[162],2016,Previously with Tata Consultancy Services,2017/11/11,,,,,,,,,,,,,,,,,,
WWE,Vince McMahon,Chairman and CEO[163],2009,Chairman of the executive committee,2017/11/11,,,,,,,,,,,,,,,,,,
,,,,Chairman since 1980,,,,,,,,,,,,,,,,,,,
,,,,President and CEO from 1980-1993,,,,,,,,,,,,,,,,,,,
Yum! Brands,Greg Creed,CEO[164],2015,Previously CEO for Taco Bell,2017/11/11,,,,,,,,,,,,,,,,,,
Zillow Group,Rich Barton,CEO[165],2019,Co-founder and previously was Zillow's CEO for nearly a decade. Succeeded Spencer Rascoff.,2018/12/10,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Eric Yuan,"President, Chairman and CEO[166]",2011,Previously corporate Vice President of engineering at Cisco,2020/10/12,,,,,,,,,,,,,,,,,,
